Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chile,CHL,2.579,2.055,1.849,1.821,1.787,1.75,1.713,1.678,1.649,1.627,1.611,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,China,CHN,2.309,1.596,1.639,1.647,1.656,1.665,1.675,1.683,1.69,1.696,1.7,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Colombia,COL,3.082,2.572,1.93,1.905,1.883,1.863,1.843,1.825,1.807,1.789,1.771,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Comoros,COM,6.412,5.384,4.628,4.561,4.491,4.419,4.347,4.275,4.205,4.138,4.073,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Dem. Rep.",COD,6.746,6.751,6.432,6.363,6.287,6.203,6.112,6.017,5.919,5.819,5.718,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Rep.",COG,5.119,4.871,4.712,4.676,4.634,4.587,4.536,4.482,4.428,4.374,4.321,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Costa Rica,CRI,3.264,2.363,1.853,1.838,1.823,1.806,1.789,1.772,1.754,1.737,1.721,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cote d'Ivoire,CIV,6.622,5.87,4.974,4.92,4.867,4.813,4.759,4.704,4.649,4.593,4.536,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Croatia,HRV,1.63,1.39,1.52,1.46,1.46,1.41,1.43,1.42,1.47,1.47,1.48,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cuba,CUB,1.714,1.603,1.683,1.689,1.686,1.674,1.656,1.637,1.618,1.602,1.59,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Curacao,CUW,..,..,2.2,2.1,2,1.9,1.7,1.5,1.7,1.6,1.6,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cyprus,CYP,2.411,1.716,1.39,1.376,1.364,1.354,1.345,1.337,1.329,1.321,1.313,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Czech Republic,CZE,1.9,1.15,1.45,1.46,1.53,1.57,1.63,1.69,1.71,1.71,1.71,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Denmark,DNK,1.67,1.77,1.73,1.67,1.69,1.71,1.79,1.75,1.73,1.7,1.67,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Djibouti,DJI,6.073,4.484,3.131,3.054,2.981,2.912,2.846,2.785,2.728,2.676,2.627,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominican Republic,DOM,3.411,2.839,2.46,2.441,2.423,2.405,2.387,2.367,2.346,2.323,2.299,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ecuador,ECU,3.744,3.102,2.567,2.544,2.522,2.499,2.475,2.451,2.427,2.403,2.38,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Egypt, Arab Rep.",EGY,4.58,3.34,3.377,3.421,3.441,3.436,3.41,3.37,3.326,3.28,3.236,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,El Salvador,SLV,3.964,3.022,2.187,2.154,2.126,2.101,2.079,2.059,2.039,2.021,2.002,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Equatorial Guinea,GNQ,5.987,5.834,5.04,4.952,4.863,4.774,4.686,4.599,4.513,4.429,4.346,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Eritrea,ERI,6.496,5.321,4.407,4.335,4.273,4.217,4.164,4.112,4.056,3.997,3.933,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Estonia,EST,2.05,1.36,1.56,1.52,1.54,1.58,1.6,1.59,1.67,1.66,1.58,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Eswatini,SWZ,5.106,3.915,3.195,3.139,3.097,3.065,3.041,3.018,2.99,2.958,2.919,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ethiopia,ETH,7.246,6.543,4.901,4.787,4.675,4.565,4.456,4.35,4.247,4.146,4.049,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Faroe Islands,FRO,2.8,2.6,2.6,2.5,2.6,2.4,2.6,2.5,2.5,2.4,2.3,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Fiji,FJI,3.398,3.09,2.773,2.786,2.795,2.8,2.797,2.788,2.774,2.754,2.729,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Finland,FIN,1.78,1.73,1.8,1.75,1.71,1.65,1.57,1.49,1.41,1.35,1.37,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,France,FRA,1.77,1.89,2.01,1.99,2,1.96,1.92,1.89,1.87,1.86,1.83,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,French Polynesia,PYF,3.401,2.463,2.048,2.027,2.008,1.99,1.973,1.956,1.941,1.927,1.913,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Gabon,GAB,5.442,4.533,4.113,4.098,4.083,4.064,4.039,4.008,3.969,3.922,3.869,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Gambia, The",GMB,6.096,5.879,5.518,5.48,5.437,5.39,5.338,5.281,5.219,5.154,5.087,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Georgia,GEO,2.18,1.608,1.984,2.012,2.034,2.05,2.059,2.062,2.06,2.055,2.046,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Germany,DEU,1.45,1.38,1.41,1.42,1.47,1.5,1.6,1.57,1.57,1.54,1.53,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ghana,GHA,5.602,4.826,4.192,4.146,4.095,4.041,3.984,3.926,3.87,3.816,3.765,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greece,GRC,1.39,1.25,1.34,1.29,1.3,1.33,1.38,1.35,1.35,1.34,1.34,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greenland,GRL,2.444,2.329,2.019,2.077,2.037,2.01,2,2.09,2,2.08,2.019,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Grenada,GRD,3.842,2.582,2.194,2.171,2.148,2.126,2.104,2.083,2.063,2.042,2.023,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guam,GUM,3.013,2.824,2.45,2.429,2.406,2.383,2.358,2.334,2.313,2.293,2.275,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guatemala,GTM,5.437,4.598,3.219,3.151,3.088,3.029,2.973,2.92,2.87,2.822,2.777,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea,GIN,6.598,6.082,5.175,5.094,5.013,4.933,4.854,4.777,4.7,4.625,4.552,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea-Bissau,GNB,6.627,5.82,4.923,4.855,4.783,4.708,4.631,4.553,4.476,4.402,4.331,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guyana,GUY,3.069,3.017,2.606,2.582,2.558,2.534,2.509,2.485,2.462,2.44,2.418,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Haiti,HTI,5.43,4.344,3.288,3.223,3.159,3.098,3.041,2.986,2.935,2.887,2.842,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Honduras,HND,5.123,4.237,2.774,2.699,2.635,2.581,2.536,2.496,2.46,2.427,2.394,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Hong Kong SAR, China",HKG,1.272,1.032,1.285,1.125,1.235,1.196,1.205,1.125,1.072,1.051,0.868,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Hungary,HUN,1.87,1.32,1.34,1.35,1.44,1.45,1.53,1.54,1.55,1.55,1.56,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iceland,ISL,2.3,2.08,2.04,1.93,1.93,1.8,1.74,1.71,1.71,1.74,1.72,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,India,IND,4.045,3.311,2.439,2.381,2.333,2.295,2.266,2.243,2.222,2.202,2.184,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Indonesia,IDN,3.122,2.512,2.455,2.436,2.413,2.389,2.362,2.336,2.311,2.288,2.266,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Iran, Islamic Rep.",IRN,4.691,2.067,1.901,1.945,1.993,2.041,2.083,2.116,2.137,2.146,2.142,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iraq,IRQ,5.882,4.94,4.243,4.168,4.076,3.972,3.864,3.762,3.672,3.597,3.537,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ireland,IRL,2.11,1.89,1.98,1.93,1.89,1.85,1.81,1.77,1.75,1.71,1.63,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Israel,ISR,2.824,2.95,3.05,3.03,3.08,3.09,3.11,3.11,3.09,3.01,2.9,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Italy,ITA,1.33,1.26,1.43,1.39,1.37,1.35,1.34,1.32,1.29,1.27,1.24,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jamaica,JAM,2.947,2.577,2.102,2.072,2.047,2.026,2.009,1.993,1.979,1.965,1.95,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Japan,JPN,1.54,1.359,1.41,1.43,1.42,1.45,1.44,1.43,1.42,1.36,1.34,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jordan,JOR,5.521,4.109,3.436,3.319,3.196,3.071,2.954,2.849,2.761,2.691,2.639,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kazakhstan,KAZ,2.72,1.8,2.62,2.64,2.73,2.74,2.77,2.75,2.84,2.9,3.13,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kenya,KEN,6.066,5.178,4.123,3.999,3.879,3.765,3.663,3.572,3.492,3.423,3.365,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kiribati,KIR,4.688,4.058,3.796,3.765,3.73,3.692,3.651,3.61,3.569,3.53,3.493,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Dem. People's Rep.",PRK,2.289,1.991,1.931,1.929,1.926,1.922,1.917,1.911,1.904,1.896,1.887,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Rep.",KOR,1.57,1.48,1.297,1.187,1.205,1.239,1.172,1.052,0.977,0.918,0.837,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kosovo,XKX,3.9,2.95,2.19,2.16,2.13,2.09,2.06,2.02,2,1.97,1.95,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kuwait,KWT,2.967,2.845,2.139,2.109,2.09,2.083,2.082,2.083,2.082,2.077,2.068,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kyrgyz Republic,KGZ,3.63,2.4,3.2,3.1,3.2,3.2,3.1,3,3.3,3.3,3,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lao PDR,LAO,6.151,4.311,2.977,2.907,2.847,2.796,2.751,2.709,2.667,2.626,2.583,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latvia,LVA,2.02,1.25,1.44,1.52,1.65,1.7,1.74,1.69,1.6,1.61,1.55,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lebanon,LBN,3.372,2.405,2.038,2.069,2.091,2.103,2.104,2.097,2.087,2.075,2.06,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lesotho,LSO,4.721,3.792,3.265,3.25,3.235,3.218,3.197,3.171,3.141,3.108,3.07,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liberia,LBR,6.499,5.866,4.793,4.706,4.621,4.54,4.461,4.387,4.315,4.247,4.183,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Libya,LBY,4.966,2.851,2.447,2.423,2.392,2.356,2.317,2.277,2.24,2.206,2.175,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liechtenstein,LIE,..,1.57,1.51,1.45,1.59,1.4,1.61,1.44,1.58,1.48,1.46,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lithuania,LTU,2.03,1.39,1.6,1.59,1.63,1.7,1.69,1.63,1.63,1.61,1.48,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Luxembourg,LUX,1.6,1.76,1.57,1.55,1.5,1.47,1.41,1.39,1.38,1.34,1.37,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Macao SAR, China",MAC,1.722,0.95,1.161,1.183,1.196,1.203,1.207,1.211,1.217,1.228,1.244,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Madagascar,MDG,6.179,5.551,4.442,4.369,4.302,4.241,4.184,4.13,4.077,4.026,3.976,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malawi,MWI,6.872,6.098,4.988,4.821,4.666,4.527,4.407,4.302,4.209,4.127,4.055,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malaysia,MYS,3.554,2.784,2.11,2.092,2.074,2.056,2.037,2.019,2.001,1.983,1.965,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Maldives,MDV,6.003,2.771,2.129,2.084,2.038,1.991,1.947,1.906,1.87,1.84,1.815,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mali,MLI,7.165,6.897,6.396,6.315,6.231,6.145,6.057,5.968,5.877,5.785,5.693,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malta,MLT,2.02,1.68,1.42,1.36,1.38,1.37,1.37,1.26,1.23,1.14,1.13,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritania,MRT,5.881,5.413,4.895,4.847,4.794,4.738,4.679,4.619,4.561,4.503,4.449,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritius,MUS,2.32,1.99,1.54,1.44,1.43,1.36,1.4,1.44,1.41,1.4,1.44,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mexico,MEX,3.47,2.716,2.294,2.27,2.243,2.215,2.186,2.157,2.129,2.103,2.079,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Micronesia, Fed. Sts.",FSM,4.958,4.3,3.347,3.294,3.243,3.193,3.145,3.098,3.053,3.01,2.968,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Moldova,MDA,2.414,1.435,1.273,1.27,1.265,1.261,1.259,1.259,1.262,1.269,1.278,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mongolia,MNG,4.052,2.141,2.794,2.852,2.894,2.918,2.923,2.914,2.895,2.867,2.834,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Montenegro,MNE,2.078,1.875,1.72,1.73,1.75,1.74,1.79,1.78,1.76,1.77,1.75,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Morocco,MAR,4.047,2.771,2.579,2.571,2.552,2.524,2.489,2.451,2.415,2.382,2.353,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mozambique,MOZ,6.211,5.826,5.264,5.198,5.131,5.062,4.992,4.922,4.852,4.783,4.713,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Myanmar,MMR,3.447,2.878,2.274,2.242,2.217,2.198,2.182,2.168,2.154,2.138,2.121,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Namibia,NAM,5.219,3.88,3.623,3.604,3.577,3.54,3.496,3.447,3.396,3.344,3.293,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nepal,NPL,5.172,3.955,2.351,2.261,2.176,2.098,2.027,1.967,1.917,1.876,1.845,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Netherlands,NLD,1.62,1.72,1.72,1.68,1.71,1.66,1.66,1.62,1.59,1.57,1.55,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Caledonia,NCL,3.18,2.59,2.28,2.19,2.17,2.06,2.08,1.97,1.97,1.94,1.923,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Zealand,NZL,2.18,1.98,2.1,2.01,1.92,1.99,1.87,1.81,1.71,1.72,1.61,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nicaragua,NIC,4.596,3.111,2.55,2.526,2.503,2.48,2.455,2.43,2.404,2.377,2.349,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Niger,NER,7.772,7.679,7.376,7.314,7.245,7.169,7.087,7.001,6.913,6.824,6.735,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nigeria,NGA,6.49,6.106,5.758,5.709,5.653,5.592,5.526,5.457,5.387,5.317,5.248,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North Macedonia,MKD,2.206,1.723,1.5,1.5,1.5,1.49,1.5,1.43,1.42,1.34,1.3,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Norway,NOR,1.93,1.85,1.85,1.78,1.75,1.72,1.71,1.62,1.56,1.53,1.48,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Oman,OMN,7.165,3.716,2.896,2.913,2.93,2.939,2.937,2.92,2.888,2.842,2.783,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pakistan,PAK,6.164,5.037,3.816,3.759,3.708,3.66,3.612,3.562,3.51,3.454,3.394,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Palau,PLW,2.84,1.83,2.23,..,..,2.21,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Panama,PAN,3.057,2.744,2.601,2.584,2.564,2.54,2.514,2.487,2.461,2.437,2.415,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Papua New Guinea,PNG,4.802,4.525,3.869,3.812,3.758,3.707,3.657,3.61,3.564,3.52,3.477,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Paraguay,PRY,4.547,3.553,2.625,2.581,2.542,2.508,2.479,2.453,2.429,2.405,2.383,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Peru,PER,3.912,2.845,2.441,2.394,2.355,2.323,2.297,2.275,2.254,2.233,2.212,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Philippines,PHL,4.32,3.811,3.055,2.979,2.894,2.805,2.718,2.64,2.576,2.526,2.49,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Poland,POL,2.06,1.37,1.33,1.29,1.32,1.32,1.39,1.48,1.46,1.44,1.38,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Portugal,PRT,1.56,1.55,1.28,1.21,1.23,1.31,1.36,1.38,1.42,1.43,1.4,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Puerto Rico,PRI,2.219,2.0485,1.5425,1.47,1.432,1.3365,1.2425,1.101,1.035,0.982,0.9,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Qatar,QAT,4.013,3.236,1.997,1.972,1.95,1.929,1.907,1.886,1.866,1.846,1.827,..
